name,gender,counts,year,prop
Mary,F,7065,1880,0.07764333520160892
Anna,F,2604,1880,0.028617585968151397
Emma,F,2003,1880,0.022012682294242414
Elizabeth,F,1939,1880,0.021309331487037463
Minnie,F,1746,1880,0.019188289209060037
